seq,send_ts_ms,rtt_ms,est_oneway_ms
142,122544569.0984,6.064214,3.032107
143,122544661.026293,16.652744,8.326372
144,122544663.272326,14.467414,7.233707
145,122544697.022043,8.68758,4.34379
146,122544735.991317,6.563443,3.281721
147,122544764.1884,11.897291,5.948645
148,122544768.557046,9.737845,4.868922
149,122544838.080975,6.95676,3.47838
150,122544840.260451,7.012758,3.506379
151,122544987.580009,11.394371,5.697185
152,122544991.267065,9.933181,4.96659
153,122545054.731537,7.747228,3.873614
154,122545064.440825,7.710325,3.855162
155,122545076.354465,6.570253,3.285126
156,122545188.692592,5.659719,2.829859
157,122545201.70842,7.884449,3.942224
158,122545278.743489,6.850512,3.425256
159,122545298.426605,9.099168,4.549584
160,122545543.157054,11.204466,5.602233
161,122545549.906786,7.766357,3.883178
162,122545963.820802,17.974151,8.987075
163,122546640.091747,12.533945,6.266972
164,122546642.295272,10.525556,5.262778
165,122546643.425563,17.928314,8.964157
166,122546644.550406,16.852908,8.426454
167,122546646.83868,14.583843,7.291921
168,122546649.288605,12.148643,6.074321
169,122546961.385309,15.058217,7.529108
170,122546962.469887,14.035201,7.0176
171,122546965.916137,10.606269,5.303134
172,122546967.113014,9.512701,4.75635
173,122546970.582767,11.40726,5.70363
174,122546973.043915,12.145866,6.072933
175,122546974.209682,11.002531,5.501265
176,122546975.337611,14.178173,7.089086
177,122546976.607499,12.9335,6.46675
178,122546990.409931,5.54611,2.773055
179,122546991.484335,7.684548,3.842274
180,122546998.30859,6.342249,3.171124
181,122547005.228999,5.476786,2.738393
182,122547059.505617,6.732838,3.366419
183,122547075.779426,5.504736,2.752368
184,122547086.545821,8.655479,4.327739
185,122547091.910876,10.032368,5.016184
186,122547097.266802,6.935822,3.467911
187,122547423.089691,51.099562,25.549781
188,122547424.293495,51.090045,25.545022
189,122547425.353784,50.102373,25.051186
190,122547426.44493,218.832808,109.416404
191,122548900.749711,9.460138,4.730069
192,122549335.721157,5.832635,2.916317
193,122549434.749814,7.07938,3.53969
194,122549511.491106,7.056247,3.528123
195,122549794.745912,6.582557,3.291278
196,122549837.872024,16.45467,8.227335
197,122549949.645899,6.61131,3.305655
198,122549955.498452,6.184326,3.092163
199,122550225.521718,12.993646,6.496823
200,122550236.221409,9.903778,4.951889
201,122550239.490819,8.852109,4.426054
202,122550377.847081,12.088274,6.044137
203,122550378.832156,13.311182,6.655591
204,122550379.881931,12.285543,6.142771
205,122550589.277571,12.617366,6.308683
206,122550590.452219,11.529562,5.764781
207,122550591.581197,10.431771,5.215885
208,122550593.920166,10.322431,5.161215
209,122550595.086808,9.216221,4.60811
210,122550623.151842,6.836396,3.418198
211,122550680.449446,11.701173,5.850586
212,122550685.874156,8.76389,4.381945
213,122550688.078388,9.801746,4.900873
214,122550692.582994,7.446988,3.723494
215,122550952.470645,8.40107,4.200535
216,122550958.436251,10.276438,5.138219
217,122550959.607825,9.188578,4.594289
218,122550960.818419,10.181387,5.090693
219,122550994.274878,5.865459,2.932729
220,122551040.973011,5.517587,2.758793
221,122551900.545637,9.266704,4.633352
222,122551908.563606,5.952685,2.976342
223,122551990.317379,6.613199,3.306599
224,122551994.70073,7.904075,3.952037
225,122552235.869139,8.329149,4.164574
226,122552237.097131,10.589038,5.294519
227,122552239.327457,8.481343,4.240671
228,122552242.806005,7.373072,3.686536
229,122552257.767989,5.728601,2.8643
230,122552299.587031,6.122075,3.061037
231,122552523.606514,16.574442,8.287221
232,122552565.059124,52.521507,26.260753
233,122552570.388277,47.298455,23.649227
234,122552748.901849,63.303888,31.651944
235,122552752.314195,95.463023,47.731511
236,122552753.437975,94.409459,47.204729
237,122552760.661071,87.20042,43.60021
238,122552767.541672,80.330623,40.165311
239,122552768.66414,79.218224,39.609112
